Population,Individual,Travel Time Mean,Travel Time Std
0,0,522.7319746945477,460.8417246814749
0,1,464.13793759512936,367.44454574289585
0,2,601.3636065215013,550.2156501831631
0,3,533.476582278481,518.727951830745
0,4,394.6275442894836,280.48754407151335
0,5,453.94129343812136,358.3386474697119
0,6,494.918765311122,429.8393382453822
0,7,541.2692891200694,512.4033034701087
0,8,536.1542432884256,520.7465975295166
0,9,459.0379977902676,449.4833576448842
0,10,446.36882400494557,395.55079782289636
0,11,483.6186373539315,379.47240040755077
0,12,465.24409759952584,392.55914634349637
0,13,465.64072571019335,422.12697800016144
0,14,457.4318884712376,411.22994816096394
0,15,521.9617213273821,524.6271858246148
0,16,463.3706812414601,347.196401228504
0,17,415.85779686615064,324.9897621528274
0,18,445.13309352517985,352.49637289919804
0,19,513.7320999268318,460.0473010674139
0,20,444.28568681186596,411.675083723588
0,21,410.5539819666714,358.4509828626726
0,22,478.61439170647424,406.87648136096135
0,23,461.32003423843264,403.30873734402417
0,24,460.2693096377307,361.0992768611365
0,25,486.2428066150464,420.381761470725
0,26,492.4171376665321,401.6070569554392
0,27,499.7055410501886,469.4478664666542
0,28,431.53132974199036,375.91424035403827
0,29,443.76569353393387,333.66054987278335
0,30,480.6108629538111,461.44477088850243
0,31,553.7109753528545,507.3563946144144
0,32,544.0889482536855,511.47671017892753
0,33,419.2475079132612,330.2774805653063
0,34,564.5345305284761,472.5689834164671
0,35,495.11186720280443,425.1768892056066
0,36,524.5239657915672,431.2875549723293
0,37,450.07141502276176,374.05510283486166
0,38,411.7263287076371,333.2787235961811
0,39,423.4502240037727,337.1247142943427
0,40,498.5643544705766,419.1412812720568
0,41,494.95069514117813,428.87838799449617
0,42,483.30136047763534,413.14594539277346
0,43,500.2070732957458,449.0614610134096
0,44,571.4285854568665,577.6656493076428
0,45,498.6728389093019,491.9750596782638
0,46,481.91161951775206,412.2154928687405
0,47,431.55594540036526,391.831615270563
0,48,504.5055077785293,494.3229703815815
0,49,468.23057216054656,364.8184680526533
0,50,479.76325295323636,401.5707202172261
0,51,589.0572311627411,526.7001595900745
0,52,470.24528481615545,444.64167904773575
0,53,448.0734089176829,442.36924117222753
0,54,487.5381653006813,438.8371172804583
0,55,512.2601183887579,462.6455910586811
0,56,458.53757665066314,389.6593628408832
0,57,537.2517162471396,628.4917365610369
0,58,470.5232161978001,381.09896302113293
0,59,477.2485317149569,418.3771818887519
0,60,484.25264511025415,430.4091177605481
0,61,465.2794234592445,439.8017239797636
0,62,468.68132932855343,405.89351566718665
0,63,535.2292857142858,449.5654291436592
0,64,409.8224025667642,323.9091076346061
0,65,420.41521574564723,352.19493325424884
0,66,452.0454674758202,376.5125145220624
0,67,490.9168817512666,482.99109849596016
0,68,486.1247138496757,405.05440911728056
